,contributor,feat_NA,feat_NT,feat_NR,feat_NOR,feat_ORR,DCA_mean,DCA_median,DCA_std,DCA_gini,DCA_IQR,NAR_mean,NAR_median,NAR_std,NAR_gini,NAR_IQR,NTR_mean,NTR_median,NTR_std,NTR_gini,NTR_IQR,NCAR_mean,NCAR_median,NCAR_std,NCAR_gini,NCAR_IQR,DCAR_mean,DCAR_median,DCAR_std,DCAR_gini,DCAR_IQR,DAAR_mean,DAAR_median,DAAR_std,DAAR_gini,DAAR_IQR,DCAT_mean,DCAT_median,DCAT_std,DCAT_gini,DCAT_IQR,NAT_mean,NAT_median,NAT_std,NAT_gini,NAT_IQR,acc_type
0,0crat,260,2,21,3,0.143,0.602,0.07,1.865,0.844,0.375,12.381,10.0,17.778,0.536,12.0,1.19,1.0,0.402,0.13,0.0,2.549,2.0,6.213,0.46,1.0,0.298,0.001,1.558,0.894,0.001,1.243,0.296,2.814,0.771,0.561,2.683,1.511,3.57,0.626,3.688,130.0,130.0,166.877,0.454,118.0,bot
1,24emebot,300,1,1,1,1.0,6.681,0.667,13.41,0.786,4.342,300.0,300.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,1997.584,1997.584,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,300.0,300.0,0.0,0.0,0.0,bot
3,47erbot,224,8,13,3,0.231,0.686,0.004,3.719,0.957,0.015,17.231,16.0,10.109,0.273,8.0,4.231,4.0,1.235,0.131,1.0,3.111,2.0,2.806,0.358,2.0,0.706,0.0,3.93,0.961,0.01,1.44,0.013,5.809,0.936,0.037,0.604,0.002,3.764,0.966,0.011,28.0,36.5,19.086,0.344,32.75,bot
4,5imon-bot,59,3,4,1,0.25,35.972,5.904,58.598,0.716,43.218,14.75,11.5,10.689,0.326,9.75,1.5,1.0,1.0,0.25,0.5,2.107,1.0,2.393,0.409,1.0,33.798,0.0,89.338,0.722,1.431,42.224,17.156,51.499,0.608,56.777,1.319,0.004,2.235,0.727,1.88,19.667,2.0,30.6,0.599,26.5,bot
5,9cibot,37,2,4,1,0.25,41.509,0.096,96.869,0.778,19.041,9.25,5.0,10.626,0.48,7.25,2.0,2.0,0.0,0.0,0.0,3.364,2.0,2.838,0.359,1.0,55.769,0.0,129.319,0.566,0.091,88.088,19.996,133.575,0.689,112.307,16.822,0.0,46.728,0.765,0.27,18.5,18.5,6.364,0.122,4.5,bot
10,abpbot,270,4,4,1,0.25,8.121,1.359,17.778,0.775,6.024,67.5,57.0,38.475,0.259,34.0,2.5,2.5,1.291,0.25,1.5,2.784,2.0,2.855,0.449,2.0,14.357,0.103,47.041,0.799,3.681,8.249,2.932,13.984,0.674,7.32,4.519,0.579,10.997,0.783,3.297,67.5,22.0,102.497,0.619,73.0,bot
11,abrt-bot,6,3,4,1,0.25,144.003,0.001,321.998,0.8,0.002,1.5,1.5,0.577,0.167,1.0,1.25,1.0,0.5,0.15,0.25,1.2,1.0,0.447,0.133,0.0,0.0,0.0,0.0,0.0,0.0,180.003,0.002,360.005,0.75,180.004,0.001,0.001,0.0,0.25,0.0,2.0,1.0,1.732,0.333,1.5,bot
16,acrnsi-robot,51,2,2,1,0.5,40.406,8.36,73.164,0.746,42.635,25.5,25.5,34.648,0.48,24.5,1.5,1.5,0.707,0.167,0.5,17.0,5.0,24.331,0.575,22.0,634.057,59.08,1047.471,0.469,921.546,59.063,59.063,70.096,0.42,49.566,36.235,2.56,71.657,0.78,23.464,25.5,25.5,4.95,0.069,3.5,bot
18,actions-bot,155,4,13,2,0.154,6.544,0.082,10.355,0.735,12.641,11.923,13.0,5.634,0.246,4.0,1.154,1.0,0.376,0.113,0.0,2.067,2.0,1.044,0.26,2.0,0.47,0.004,3.709,0.956,0.029,13.141,12.922,11.218,0.466,14.921,6.272,2.074,8.07,0.612,9.839,38.75,4.0,70.84,0.692,35.75,bot
19,activeeon-bot,104,2,11,1,0.091,21.238,12.507,26.17,0.595,22.024,9.455,5.0,13.322,0.587,7.0,1.0,1.0,0.0,0.0,0.0,1.405,1.0,0.978,0.244,0.0,7.147,0.0,22.172,0.561,0.0,22.721,13.2,28.244,0.597,22.365,20.781,12.507,24.612,0.579,22.31,52.0,52.0,8.485,0.058,6.0,bot
