contributor,feat_NA,feat_NT,feat_NR,feat_NOR,feat_ORR,DCA_mean,DCA_median,DCA_std,DCA_gini,DCA_IQR,NAR_mean,NAR_median,NAR_std,NAR_gini,NAR_IQR,NTR_mean,NTR_median,NTR_std,NTR_gini,NTR_IQR,NCAR_mean,NCAR_median,NCAR_std,NCAR_gini,NCAR_IQR,DCAR_mean,DCAR_median,DCAR_std,DCAR_gini,DCAR_IQR,DAAR_mean,DAAR_median,DAAR_std,DAAR_gini,DAAR_IQR,DCAT_mean,DCAT_median,DCAT_std,DCAT_gini,DCAT_IQR,NAT_mean,NAT_median,NAT_std,NAT_gini,NAT_IQR,acc_type
879864,60,13,15,9,0.6,31.07,0.269,67.462,0.828,22.12,4.0,2.0,3.566,0.447,5.0,2.8,2.0,2.145,0.381,3.0,2.5,2.0,1.956,0.375,1.25,1.729,0.018,3.999,0.745,0.668,77.897,45.187,90.695,0.588,127.395,31.232,0.208,73.824,0.847,11.562,4.615,4.0,4.788,0.456,2.0,human
378646,12,6,4,2,0.5,194.223,50.937,353.028,0.752,141.748,3.0,2.0,2.708,0.375,1.5,2.0,1.5,1.414,0.312,1.5,1.5,1.0,1.069,0.271,0.25,6.394,0.0,18.002,0.496,0.052,297.9,116.437,415.819,0.639,362.958,287.924,116.437,422.979,0.671,397.873,2.0,2.0,0.894,0.222,1.5,human
668558,160,10,8,5,0.625,12.03,0.157,49.933,0.92,1.214,20.0,13.5,20.997,0.534,34.25,2.25,2.0,1.389,0.306,2.0,7.619,3.0,11.227,0.623,6.0,37.566,0.463,76.315,0.688,22.128,56.19,2.369,122.894,0.787,47.125,40.367,1.909,99.289,0.804,34.702,16.0,2.0,28.76,0.712,4.0,human
885498,44,6,2,2,1.0,18.013,0.036,102.432,0.962,0.22,22.0,22.0,29.698,0.477,21.0,3.0,3.0,2.828,0.333,2.0,22.0,22.0,29.698,0.477,21.0,51.22,51.22,72.436,0.0,51.22,672.119,672.119,0.0,0.0,0.0,19.742,0.03,107.534,0.96,0.135,7.333,8.0,5.989,0.402,10.25,human
936358,7,5,4,4,1.0,195.872,19.875,289.522,0.661,403.548,1.75,1.0,1.5,0.321,0.75,1.25,1.0,0.5,0.15,0.25,1.4,1.0,0.548,0.171,1.0,0.325,0.0,0.617,0.372,0.208,293.402,282.15,318.836,0.493,518.028,235.005,38.333,305.439,0.593,524.549,1.4,1.0,0.894,0.229,0.0,human
396949,263,14,13,9,0.692,3.652,0.011,13.854,0.902,0.59,20.231,2.0,38.462,0.761,9.0,3.077,2.0,2.9,0.454,3.0,2.955,2.0,5.518,0.533,1.0,4.959,0.001,18.18,0.859,0.17,5.859,0.636,15.054,0.805,4.171,5.133,0.06,16.625,0.88,2.196,18.786,12.0,25.556,0.59,21.5,human
585446,245,12,20,9,0.45,0.803,0.049,2.588,0.869,0.359,12.25,3.5,33.149,0.762,5.0,2.75,2.0,2.268,0.395,3.0,3.769,2.0,6.312,0.524,3.0,1.146,0.021,5.022,0.857,0.459,1.897,0.34,4.034,0.782,0.794,0.799,0.034,2.576,0.872,0.4,20.417,10.5,20.83,0.519,29.0,human
976493,238,15,10,5,0.5,4.641,0.138,13.638,0.881,0.99,23.8,5.0,34.133,0.654,42.75,3.9,2.5,4.358,0.495,2.0,10.348,5.0,12.943,0.583,11.0,31.487,3.161,52.854,0.66,43.963,17.076,4.727,24.677,0.673,17.983,7.422,0.465,17.47,0.833,2.689,15.867,5.0,28.068,0.676,8.0,human
673778,40,8,8,6,0.75,48.03,0.104,163.107,0.909,3.088,5.0,1.0,7.111,0.594,4.5,1.75,1.0,1.488,0.339,0.5,3.636,2.0,4.675,0.514,3.0,16.976,0.021,56.012,0.83,0.175,168.645,60.266,296.285,0.724,123.918,54.311,0.051,208.542,0.929,0.149,5.0,3.5,6.234,0.5,2.5,human
755563,274,14,50,40,0.8,2.85,0.184,5.681,0.804,2.158,5.48,1.0,10.841,0.706,1.0,1.54,1.0,1.432,0.308,0.0,1.473,1.0,1.464,0.288,0.0,0.317,0.0,2.112,0.837,0.0,3.886,0.237,6.473,0.752,5.03,4.414,0.746,6.634,0.716,6.346,19.571,5.0,48.723,0.769,6.25,human
978659,53,8,4,3,0.75,12.232,0.027,35.443,0.885,0.447,13.25,12.5,10.844,0.392,10.25,4.75,6.0,2.5,0.197,1.25,13.25,12.5,10.844,0.392,10.25,76.841,69.688,73.587,0.281,88.599,109.562,117.84,105.602,0.427,105.358,9.274,0.01,35.906,0.935,0.32,6.625,8.0,4.838,0.375,7.0,human
333786,19,4,1,1,1.0,103.448,22.389,220.379,0.787,69.984,19.0,19.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,1862.071,1862.071,0.0,0.0,0.0,,,0.0,0.0,,99.854,12.192,234.601,0.803,74.408,4.75,5.5,2.63,0.25,2.25,human
434573,11,6,7,7,1.0,150.484,141.989,119.738,0.423,177.351,1.571,1.0,0.976,0.26,1.0,1.286,1.0,0.756,0.19,0.0,1.571,1.0,0.976,0.26,1.0,68.651,0.0,178.541,0.485,3.528,170.714,146.305,99.574,0.293,119.213,126.169,110.219,123.223,0.502,180.607,1.833,1.0,1.329,0.318,1.5,human
446543,17,7,2,1,0.5,43.589,0.113,90.426,0.812,6.478,8.5,8.5,2.121,0.088,1.5,5.0,5.0,1.414,0.1,1.0,8.5,8.5,2.121,0.088,1.5,227.169,227.169,320.861,0.499,226.883,243.085,243.085,0.0,0.0,0.0,37.4,0.047,90.745,0.845,0.958,2.429,3.0,1.512,0.303,2.0,human
